SeriesNumber Filename UUID Hashed
1 adewale-the-amebo cad316c3-37f8-4b27-9f53-9d803bfcfee7 1c2c2ba3538f0829fc006f234c69f08d0129482e9e6395c712968224d8d994e7
2 alli-the-queeny a57ecda4-a26f-4e97-a757-e1800af39aab c7793554d19f2a2cd0167018997e3e1f4e79e3bafe77a5d7999cd6cea2e91b74
3 aminat-the-snnobish 0e37ed0d-3e84-4f32-a91f-ec9c4ba8c7de 1847e6a3790d2b42e1040acecdafcca3577708f2b9a27551faafe0d9dffef1aa
4 aminu-the-carpenter 4f30b751-96e7-40fe-97fd-e3d44973ff2f fc4e4edb1d82a11a0456f4de2122f90165f68efec5634b720e0b5a6b0774127e
5 chibuike-the-kudibag 5ce854f2-7ac1-46fd-b3fe-57583935d1e5 a9762f7ea8a334544d344518748d4c14471a14a4271a6fc3cc97ae1045bec2c6
6 chidinma-the-model c98db72e-49ac-4ca6-89d5-e00f5fbbcc45 51d5c4b398867be5855809992cc97c9f09795fd17305edc471f54c98a0d4788a
7 chioma-pretty-girl 182ea888-a85b-42ca-ad73-ed4f8f9aa5c7 c68e03f9d713c41f660fc6e1fb193014a8a8bd7c2d2f3e9b682503384732d2d6
8 damilare-the-handsome 27eca2dc-d7df-474a-8f8f-1858152c711e b3c71e1c0805c3daebe46096883a9482d15fc785677cb0ae563867d7b32af212
9 ebiowie-the-planter f1df8270-4d60-4bd4-8959-ba7c384db5c4 cc6a659d89513f2526e6a3368a61e38f26c27c9946596484684bc6f50ea4c531
10 emeka-the-businessman 9b3d75da-4887-4089-aee4-50de3954fdc9 b0dc052908fcdc1ffac4fa5b94b898af667039ae89a0fcd2de38fde9ec98f31f
11 gbeminyi-the-monk c8b1fd1d-8551-4bb4-8dc4-923a9aeb39fb 2655e751c20ba6ce57ceb973c00915a7f1b732c07c71dc1aae816c0656a3b24c
12 henry-the-sportsman e1225451-bfdf-4a1f-8d37-9cce3a0bd67b 69c85942597d12130be5faf0d798891e15f6325469dded2359a39a6b9a34b724
13 mayowa-the-smallie dfbb4163-df24-4d54-b74c-6218a68df8bd da3edaa99f0fdcd56387cf5249d7e93e70ee2667305e667f8787834b498aa3fc
14 muyiwa-the-stylish dcf9d5a0-57b7-4126-a05e-6c8f1045d3f7 dd7c9dbe8ba3c4d35f134f8fd6f6a526415b727fa1a8e119d4a44f94bb6c4ae9
15 nina-paper-chaser 59524227-dc52-407c-8cca-e9e8c5fb3018 25493d2b67f7a94627cb7c59dfba075b53d3c530b423a4caa7d7dff15ef238f5
16 oluwaseun-spicy 808f7007-6552-4efa-bd13-4b7c337b102b 48b7520a0a87382e2a1ce313260bc885552da4ff352f2f62bfb79b4047a28e3c
17 sesan-the-smartie ba3edda7-8940-4ca4-97ba-826398d5909f c04573729a0f576a6c03647e788b9b8c5ca56793767b20c3425aea7b25cf77d3
18 tiwa-london 78da7aeb-8352-4e25-89ac-dc48b5984089 234e396881233c58abf1da68d512fd0d037081b47f5e30c3e32bf6e96c5792d7
19 19 53b46bd7-a537-402b-b249-0b4074a8faae 0324ca711c486c456ac5974e41cdbf8bf24e485f850fe7a7004d5db51855f6d1
20 yakubu-the-zombie 4adb6781-1614-424e-8f77-fe59ffca2209 8fcae528bdf72359ebf5858f3c06c1885572a92071a0c110c18376aa2b9d4c0e
21 abdul-the-vibe 770f817a-9d9a-4772-9a91-e66dd9d03470 820836c345afc310a4f57da63a3e3cb4d52661eb1b2eb4765e77ebdce16a5895
22 emeka-the-clown 78810fa6-a7ef-4d83-bf57-caf49db4ee69 01bdf45c28b451ef595289b003c2edeac36f97a71444ac5ec67f87f7b17e1a71
23 salam-the-odogwu f2957ded-022c-4b07-92c6-b345d4816a67 0b7e720ee7a23eadae74509c7cf4d23818b8fa2f1ff606af4483a2b9464babb2
24 charles-the-exporter 09395e76-19ed-4852-8748-795ee7496a8e 17e52f67628e1abfa7face8608f29910fcb912cbb5ec66dd2fc12d1da9fb3ffb
25 wole-the-pimp 4d94d4f7-9b69-4e43-9db1-1fe83df92857 478c6b4bb4d56f554b2e323b68e462d5456e855de2df30799e5e08085be56cc2
26 saro-the-baller d35a7514-8996-42fb-a5f2-5a603ec679c5 7c696ddff35db5c19a344dea59be385c63d5708a4159bc9836d40fdb361d4cc7
27 ade-omo-yoruba 92984fa0-310b-4377-8a10-15965d044383 77624cc6ea30cf4ed3b09a6dee48263a516c489cf42257b7adbcdf5704c237c9
28 shola-cool-kid 3ac5c186-bc14-4eb6-8567-cc818465a64f c2fc0aa8d77f3acd123a7b2c4d51f70d136eb41d6cf18c1816ba57be3c67f702
29 charlie-the-smoker 71a0aa22-d111-43b7-8484-43d87310bc42 7f4b8c8cccd2d5bb07fea566d04d8e45d70ff7946080321394496c2bd9ccfabe
30 femi-the-badguy e493e3fb-a8a0-455a-854f-0f6474bbc69f 525c4a890797850f879ac0ae5a4a737b4453ab133972d68a0c4648e7109bd532
31 sinzu-money 942f8347-9932-4331-bd15-d0f3a048b54f 9ff2d2c53b040f345ca9a8b3c9d0d846ab9a20bba66c9bb51a3d24ac5b44c112
32 obinna-the-palmwine-tapper 0f1af056-2548-4407-bed4-abc11deae05d d000d64fab53c1dd1a8f4b37cc65ec0337c37a65ce6d75627e1c2f6fac35d272
33 aminu-maikudi 0129e7a5-e3d0-4675-92d0-1a1e55d11612 788944e735f2589a5839710604917d876efe925ad97c86f7aa3f8bcb467cc3f2
34 sabinus-the-town-crier 01d4ce96-818e-44b1-8813-68a7d34b35ba a8d8c8b2a631da46c3da4755f9c488b766d336323725cf5271a3593d221e5d83
35 adisa-ibadan 3a925f27-35f6-4dbf-9960-c6527fae5f3e bce5f34c9182699e898f93964ef89f1b50cf3a5896bc6efc400934326a95835d
36 linda-the-navigator 71f335a6-5a4f-4410-9cea-179336f0e498 d41574a2d02a2ac3e823d930012a5f2c569f9d7919856e42c65abc0bd4e33d56
37 kemi-the-iron-lady 35b11a31-5b92-49f4-8fb1-30f255d22054 8748439f78934ebdfed11334912978f06ae01f1facf49cd061a62c2435110944
38 mercy-the-sassy-lady 7a3c70ac-927f-4a63-a3df-ab86dd27cd0f 6b4f154f6f552342a9a888e34c1464c28ffcb4eff75113625e091b4402396052
39 sandra-money 1bd95fb0-7b2e-4354-bebd-22f9cf70a1ca dea88bbfe96ff22d2a7f9b19e652e9a3da56cac56339d21fbaa04d23c45c610c
40 bimpe-the-fashionista 92b548b7-998b-46b6-8198-80d407209483 a02ba5cfc1abed25528c1ea45f5dff44d47d09f85de31e5ddda34dc7a90fbf34
